id_venta;id_sucursal;id_producto;fecha_venta;cantidad_vendida;total_venta
10073;2;7;01-01-2030;9;1350.0
10074;1;10;07-02-2027;1;80.0
10075;1;11;25-01-2028;3;360.0
10076;3;7;25-08-2028;5;750.0
10077;4;9;31-05-2027;7;1750.0
10078;6;4;15-01-2027;5;125.0
10079;1;12;24-10-2029;9;270.0
10080;1;4;06-09-2028;1;25.0
10081;5;6;04-12-2029;3;900.0
10082;2;12;28-07-2030;3;90.0
10083;3;2;23-06-2026;2;1600.0
10084;2;9;16-07-2026;1;250.0
10085;1;12;10-05-2026;10;300.0
10086;2;5;01-10-2027;2;100.0
10087;1;11;17-08-2028;1;120.0
10088;6;2;26-06-2029;3;2400.0
10089;6;6;01-08-2027;2;600.0
10090;1;4;12-07-2027;2;50.0
10091;4;8;14-04-2030;5;350.0
10092;3;3;15-10-2029;8;4000.0
10093;3;11;20-09-2027;4;480.0
10094;4;11;14-01-2030;4;480.0
10095;5;3;28-04-2026;6;3000.0
10096;4;7;13-11-2028;3;450.0
10097;4;7;07-08-2026;5;750.0
10098;5;9;05-04-2026;1;250.0
10099;5;7;18-02-2030;6;900.0
10100;2;9;22-04-2026;1;250.0
10101;1;10;18-05-2028;1;80.0
10102;3;6;07-07-2030;2;600.0
10103;4;2;15-05-2027;9;7200.0
10104;4;2;11-10-2030;7;5600.0
10105;1;10;15-04-2029;7;560.0
10106;1;9;21-07-2026;10;2500.0
10107;3;9;11-12-2027;5;1250.0
10108;3;2;05-02-2029;8;6400.0
10109;5;12;27-10-2026;5;150.0
10110;6;6;20-10-2026;9;2700.0
10111;3;11;01-01-2027;1;120.0
10112;1;10;23-11-2030;8;640.0
10113;1;9;06-01-2027;10;2500.0
10114;3;5;17-05-2027;10;500.0
10115;6;4;05-03-2027;4;100.0
10116;1;10;31-08-2030;4;320.0
10117;5;8;28-08-2026;2;140.0
10118;4;6;29-12-2026;1;300.0
10119;3;8;07-03-2028;2;140.0
10120;4;8;01-10-2028;4;280.0
10121;3;4;03-07-2030;9;225.0
10122;6;2;16-05-2026;9;7200.0
10123;2;3;22-03-2029;4;2000.0
10124;4;11;26-09-2030;1;120.0
10125;2;4;02-11-2027;3;75.0
10126;2;8;03-12-2026;2;140.0
10127;6;12;26-04-2026;4;120.0
10128;4;3;15-05-2026;6;3000.0
10129;5;5;08-03-2029;2;100.0
10130;4;8;11-09-2026;2;140.0
10131;2;4;16-10-2028;8;200.0
10132;1;1;20-03-2030;2;2400.0
10133;2;6;28-10-2028;7;2100.0
10134;3;8;02-01-2029;4;280.0
10135;4;2;01-03-2028;1;800.0
10136;6;5;26-10-2028;9;450.0
10137;5;9;05-12-2030;2;500.0
10138;4;8;03-08-2028;3;210.0
10139;1;10;13-08-2029;7;560.0
10140;2;2;17-12-2030;6;4800.0
10141;3;4;20-06-2030;9;225.0
10142;1;8;24-04-2026;2;140.0
10143;1;10;10-02-2029;2;160.0
10144;1;8;23-02-2029;1;70.0
10145;3;8;10-03-2026;3;210.0
10146;4;3;07-10-2029;8;4000.0
10147;3;3;14-04-2027;7;3500.0
10148;5;5;23-10-2026;3;150.0
10149;4;11;02-04-2029;7;840.0
10150;2;10;08-09-2028;2;160.0
10151;1;8;13-06-2029;1;70.0
10152;1;9;09-01-2030;6;1500.0
10153;5;1;01-12-2029;1;1200.0
10154;1;5;04-03-2027;8;400.0
10155;6;2;29-04-2026;5;4000.0
10156;3;1;16-06-2028;3;3600.0
10157;3;4;13-06-2030;6;150.0
10158;6;4;31-10-2028;5;125.0
10159;5;12;08-12-2028;9;270.0
10160;5;10;16-02-2026;1;80.0
10161;3;3;19-11-2028;1;500.0
10162;4;11;02-08-2030;4;480.0
10163;4;4;04-06-2027;5;125.0
10164;1;3;14-02-2029;2;1000.0
10165;2;5;21-11-2027;8;400.0
10166;3;11;01-08-2029;1;120.0
10167;5;12;10-01-2027;4;120.0
10168;1;1;19-11-2026;8;9600.0
10169;2;3;10-07-2030;3;1500.0
10170;1;11;02-05-2029;1;120.0
10171;2;11;24-04-2027;9;1080.0
10172;2;4;15-04-2027;10;250.0
10173;1;9;23-01-2028;2;500.0
10174;1;10;29-04-2026;6;480.0
10175;3;8;19-10-2026;10;700.0
10176;4;4;04-07-2030;4;100.0
10177;2;1;30-11-2030;10;12000.0
10178;3;12;14-12-2030;3;90.0
10179;4;11;15-03-2027;8;960.0
10180;5;4;23-02-2029;1;25.0
10181;1;6;05-11-2030;9;2700.0
10182;2;4;08-01-2029;8;200.0
10183;5;6;20-09-2030;6;1800.0
10184;3;12;13-10-2030;3;90.0
10185;2;8;30-08-2028;9;630.0
10186;3;2;09-12-2028;5;4000.0
10187;6;9;30-12-2026;1;250.0
10188;3;11;21-07-2026;5;600.0
10189;5;8;20-01-2028;9;630.0
10190;3;7;01-12-2029;10;1500.0
10191;4;3;15-08-2027;3;1500.0
10192;4;8;01-08-2028;3;210.0
10193;2;11;14-08-2028;9;1080.0
10194;1;9;27-12-2026;5;1250.0
10195;3;7;17-03-2028;3;450.0
10196;3;1;19-01-2029;6;7200.0
10197;5;10;22-12-2028;6;480.0
10198;2;10;04-05-2029;7;560.0
10199;3;11;11-10-2026;6;720.0
10200;6;9;20-11-2028;4;1000.0
10201;4;10;21-06-2029;3;240.0
10202;1;2;27-10-2030;7;5600.0
10203;4;3;04-06-2026;4;2000.0
10204;5;5;03-09-2027;1;50.0
10205;4;11;22-06-2026;2;240.0
10206;4;4;20-04-2026;10;250.0
10207;2;12;15-09-2026;2;60.0
10208;6;3;17-09-2027;3;1500.0
10209;4;10;31-01-2030;5;400.0
10210;2;9;24-09-2028;9;2250.0
10211;3;1;20-12-2026;5;6000.0
10212;4;2;20-04-2028;5;4000.0
10213;3;9;20-07-2029;10;2500.0
10214;6;5;21-05-2027;5;250.0
10215;4;3;12-02-2028;4;2000.0
10216;2;5;20-08-2026;6;300.0
10217;6;12;17-07-2026;1;30.0
10218;4;11;14-12-2029;10;1200.0
10219;1;2;19-02-2029;9;7200.0
10220;3;6;15-07-2028;7;2100.0
10221;2;8;04-03-2030;4;280.0
10222;4;3;19-02-2030;10;5000.0
10223;4;2;14-07-2030;3;2400.0
10224;5;1;19-11-2029;1;1200.0
10225;6;2;08-06-2029;6;4800.0
10226;6;1;21-12-2030;5;6000.0
10227;2;5;01-07-2027;5;250.0
10228;4;1;02-10-2028;4;4800.0
10229;5;7;11-03-2029;5;750.0
10230;6;8;31-05-2030;3;210.0
10231;6;2;04-07-2030;7;5600.0
10232;1;12;01-09-2030;5;150.0
10233;1;3;15-05-2030;10;5000.0
10234;2;1;21-12-2026;9;10800.0
10235;5;1;11-02-2028;6;7200.0
10236;3;5;14-07-2027;10;500.0
10237;6;1;26-03-2028;6;7200.0
10238;1;5;07-09-2027;7;350.0
10239;6;10;24-03-2028;2;160.0
10240;5;3;17-04-2026;2;1000.0
10241;4;6;27-05-2028;3;900.0
10242;2;8;20-09-2028;10;700.0
10243;2;4;11-01-2027;9;225.0
10244;6;2;17-07-2028;2;1600.0
10245;3;3;07-12-2028;8;4000.0
10246;2;1;09-09-2029;8;9600.0
10247;2;11;04-10-2026;3;360.0
10248;1;12;20-04-2026;4;120.0
10249;4;11;14-05-2029;8;960.0
10250;4;11;21-07-2029;6;720.0
10251;3;10;16-11-2026;8;640.0
10252;4;6;10-07-2027;5;1500.0
10253;6;8;03-12-2026;1;70.0
10254;2;3;19-05-2026;7;3500.0
10255;3;5;22-09-2030;5;250.0
10256;6;11;01-07-2028;7;840.0
10257;5;10;15-06-2029;6;480.0
10258;2;8;29-04-2028;1;70.0
10259;5;5;18-12-2026;8;400.0
10260;4;4;07-01-2030;3;75.0
10261;4;5;08-11-2028;5;250.0
10262;6;5;27-06-2027;10;500.0
10263;5;7;11-10-2030;9;1350.0
10264;4;12;28-10-2027;10;300.0
10265;4;12;10-01-2028;1;30.0
10266;3;6;27-05-2027;1;300.0
10267;6;10;08-10-2026;5;400.0
10268;2;10;21-08-2030;10;800.0
10269;3;1;04-06-2028;6;7200.0
10270;4;1;03-12-2030;9;10800.0
10271;4;7;26-10-2026;4;600.0
10272;5;9;18-04-2029;4;1000.0
10273;5;6;27-04-2028;9;2700.0
10274;2;4;12-03-2030;2;50.0
10275;3;7;16-04-2026;1;150.0
10276;1;3;05-06-2030;8;4000.0
10277;3;11;10-03-2029;4;480.0
10278;4;3;11-12-2029;7;3500.0
10279;4;3;04-09-2029;8;4000.0
10280;1;4;29-10-2029;2;50.0
10281;1;1;03-07-2028;3;3600.0
10282;2;3;12-11-2027;6;3000.0
10283;3;11;09-05-2029;6;720.0
10284;4;10;25-01-2027;1;80.0
10285;3;9;06-02-2028;1;250.0
10286;3;9;07-06-2027;3;750.0
10287;5;2;06-03-2029;1;800.0
10288;3;5;29-12-2029;6;300.0
10289;3;5;31-01-2029;10;500.0
10290;5;2;21-01-2030;10;8000.0
10291;6;3;12-02-2027;4;2000.0
10292;3;11;14-02-2027;7;840.0
10293;2;4;18-08-2027;5;125.0
10294;1;3;31-10-2026;9;4500.0
10295;4;8;04-10-2030;10;700.0
10296;3;8;04-10-2027;10;700.0
10297;5;6;15-05-2030;7;2100.0
10298;1;8;11-12-2027;7;490.0
10299;3;2;28-05-2028;10;8000.0
10300;1;5;02-08-2027;3;150.0
10301;5;3;26-11-2026;3;1500.0
10302;5;7;13-04-2026;1;150.0
10303;6;1;30-08-2030;10;12000.0
10304;6;9;03-08-2027;5;1250.0
10305;6;9;10-06-2026;8;2000.0
10306;6;11;14-01-2027;8;960.0
10307;6;7;31-07-2026;1;150.0
10308;3;11;29-12-2030;5;600.0
10309;5;8;21-04-2027;8;560.0
10310;4;2;19-10-2028;1;800.0
10311;1;11;24-02-2028;4;480.0
10312;6;11;11-12-2026;2;240.0
10313;6;3;22-08-2028;10;5000.0
10314;2;2;17-05-2030;1;800.0
10315;3;1;20-01-2030;6;7200.0
10316;2;9;06-10-2027;7;1750.0
10317;2;4;23-09-2026;7;175.0
10318;5;9;22-03-2030;9;2250.0
10319;1;11;29-05-2030;6;720.0
10320;6;9;03-12-2026;5;1250.0
10321;2;10;22-05-2030;6;480.0
10322;3;11;26-02-2029;10;1200.0
10323;2;10;06-06-2030;7;560.0
10324;4;12;15-10-2029;2;60.0
10325;2;5;20-04-2026;9;450.0
10326;6;12;09-08-2027;8;240.0
10327;6;4;10-04-2027;9;225.0
10328;3;6;31-05-2028;9;2700.0
10329;6;5;27-10-2028;7;350.0
10330;4;2;15-08-2030;4;3200.0
10331;2;2;16-04-2027;6;4800.0
10332;1;1;22-07-2030;9;10800.0
10333;6;9;01-05-2026;6;1500.0
10334;5;10;20-09-2026;8;640.0
10335;1;2;30-06-2027;1;800.0
10336;6;3;24-12-2028;5;2500.0
10337;6;2;25-04-2026;8;6400.0
10338;5;8;25-02-2030;2;140.0
10339;2;11;29-03-2029;9;1080.0
10340;2;12;06-11-2030;8;240.0
10341;3;7;25-07-2029;9;1350.0
10342;3;5;19-10-2029;1;50.0
10343;2;11;29-10-2030;9;1080.0
10344;3;7;15-10-2030;5;750.0
10345;6;10;28-01-2030;6;480.0
10346;6;2;22-10-2027;1;800.0
10347;6;8;03-03-2027;7;490.0
10348;3;7;30-05-2026;4;600.0
10349;1;6;04-05-2030;9;2700.0
10350;2;3;10-04-2030;4;2000.0
10351;6;9;18-03-2029;7;1750.0
10352;3;12;28-10-2026;9;270.0
10353;3;1;28-10-2026;5;6000.0
10354;4;5;15-04-2027;3;150.0
10355;3;9;14-09-2030;1;250.0
10356;5;7;30-01-2030;7;1050.0
10357;5;8;14-11-2027;6;420.0
10358;6;7;24-01-2027;1;150.0
10359;6;9;09-02-2028;2;500.0
10360;6;7;31-03-2028;4;600.0
10361;3;9;24-03-2030;10;2500.0
10362;5;5;18-01-2029;3;150.0
10363;6;10;15-03-2030;7;560.0
10364;3;2;27-03-2026;1;800.0
10365;3;12;19-02-2026;2;60.0
10366;4;4;24-05-2026;3;75.0
10367;4;11;17-04-2029;2;240.0
10368;4;11;28-10-2030;10;1200.0
10369;2;1;16-03-2028;1;1200.0
10370;6;4;03-07-2029;6;150.0
10371;3;2;31-03-2029;4;3200.0
10372;3;4;23-11-2027;8;200.0
10373;1;10;14-11-2026;8;640.0
10374;2;4;01-06-2030;10;250.0
10375;4;11;17-08-2027;10;1200.0
10376;5;3;13-08-2029;3;1500.0
10377;6;5;19-01-2027;3;150.0
10378;3;12;25-07-2029;2;60.0
10379;3;2;18-01-2028;5;4000.0
10380;2;12;04-08-2029;5;150.0
10381;5;9;29-06-2027;4;1000.0
10382;5;9;05-10-2027;10;2500.0
10383;6;2;23-10-2030;7;5600.0
10384;4;4;13-06-2030;1;25.0
10385;5;1;20-11-2030;5;6000.0
10386;1;1;13-11-2030;9;10800.0
10387;6;8;07-05-2027;3;210.0
10388;6;4;01-04-2028;3;75.0
10389;5;5;16-06-2028;5;250.0
10390;1;7;08-05-2027;8;1200.0
10391;2;7;04-02-2029;6;900.0
10392;6;7;29-03-2030;4;600.0
10393;4;7;29-06-2029;2;300.0
10394;3;5;14-08-2026;8;400.0
10395;5;1;14-12-2027;5;6000.0
10396;2;10;21-05-2029;6;480.0
10397;5;10;13-04-2027;7;560.0
10398;4;3;21-11-2026;6;3000.0
10399;4;6;09-09-2026;10;3000.0
10400;2;2;29-11-2029;8;6400.0
10401;3;2;15-04-2026;6;4800.0
10402;6;5;29-05-2029;5;250.0
10403;2;6;24-07-2027;2;600.0
10404;5;2;18-12-2027;3;2400.0
10405;2;11;19-11-2028;2;240.0
10406;5;6;09-07-2029;7;2100.0
10407;3;2;12-07-2027;2;1600.0
10408;5;6;09-11-2027;1;300.0
10409;5;3;23-03-2028;6;3000.0
10410;4;11;10-07-2027;10;1200.0
10411;6;1;09-06-2030;7;8400.0
10412;2;4;25-01-2029;8;200.0
10413;3;11;04-09-2030;10;1200.0
10414;4;10;07-11-2026;2;160.0
10415;1;5;30-10-2028;10;500.0
10416;6;3;08-02-2029;4;2000.0
10417;5;9;20-02-2029;4;1000.0
10418;1;12;31-01-2029;8;240.0
10419;5;1;25-01-2030;10;12000.0
10420;6;12;21-01-2029;10;300.0
10421;2;3;06-10-2027;3;1500.0
10422;3;8;24-03-2028;7;490.0
10423;6;5;10-03-2030;3;150.0
10424;2;12;26-01-2029;9;270.0
10425;1;5;03-03-2027;6;300.0
10426;3;8;10-05-2026;1;70.0
10427;4;9;10-11-2027;6;1500.0
10428;4;6;19-12-2029;8;2400.0
10429;6;10;16-11-2028;10;800.0
10430;4;12;23-11-2029;7;210.0
10431;2;1;16-09-2028;9;10800.0
10432;3;5;14-03-2026;7;350.0
10433;5;4;26-11-2029;7;175.0
10434;6;8;03-07-2029;4;280.0
10435;4;6;16-01-2028;7;2100.0
10436;3;2;20-01-2028;5;4000.0
10437;6;10;30-12-2027;4;320.0
10438;2;12;12-01-2030;9;270.0
10439;5;4;29-10-2029;7;175.0
10440;3;10;02-01-2027;10;800.0
10441;1;11;30-08-2027;3;360.0
10442;5;10;15-07-2030;7;560.0
10443;4;10;18-05-2027;6;480.0
10444;1;8;10-02-2028;5;350.0
10445;2;3;07-09-2030;5;2500.0
10446;3;12;10-05-2029;8;240.0
10447;5;7;19-06-2029;1;150.0
10448;1;11;05-02-2030;2;240.0
10449;3;3;21-02-2029;5;2500.0
10450;4;12;19-06-2030;1;30.0
10451;4;6;27-04-2027;1;300.0
10452;5;3;12-08-2029;4;2000.0
10453;1;3;21-09-2026;9;4500.0
10454;3;1;05-05-2028;6;7200.0
10455;4;6;03-02-2028;1;300.0
10456;4;10;16-02-2027;4;320.0
10457;6;2;30-08-2027;1;800.0
10458;2;2;08-03-2027;10;8000.0
10459;5;9;18-08-2026;7;1750.0
10460;1;10;13-08-2029;5;400.0
10461;3;12;05-07-2026;4;120.0
10462;6;4;29-05-2028;1;25.0
10463;5;3;12-05-2030;9;4500.0
10464;6;8;10-09-2029;4;280.0
10465;3;12;05-05-2030;6;180.0
10466;4;11;25-11-2027;9;1080.0
10467;1;2;05-07-2028;5;4000.0
10468;1;7;31-12-2030;3;450.0
10469;1;2;31-08-2027;4;3200.0
10470;4;12;17-12-2026;3;90.0
10471;6;1;13-06-2026;6;7200.0
10472;4;4;08-10-2030;5;125.0
10473;4;9;10-06-2026;10;2500.0
10474;6;7;13-02-2027;1;150.0
10475;1;10;31-07-2029;6;480.0
10476;4;3;28-04-2030;1;500.0
10477;6;4;16-09-2028;10;250.0
10478;3;7;13-03-2028;1;150.0
10479;6;11;19-03-2030;6;720.0
10480;3;12;06-12-2029;7;210.0
10481;6;2;02-05-2029;10;8000.0
10482;6;4;16-06-2026;7;175.0
10483;2;9;10-02-2029;8;2000.0
10484;3;8;05-08-2027;3;210.0
10485;4;6;30-11-2028;10;3000.0
10486;5;10;16-09-2029;3;240.0
10487;3;1;23-08-2027;8;9600.0
10488;2;2;31-12-2030;2;1600.0
10489;4;7;11-12-2026;2;300.0
10490;1;10;17-03-2030;1;80.0
10491;5;9;27-10-2027;7;1750.0
10492;1;8;26-06-2030;1;70.0
10493;5;11;12-02-2029;8;960.0
10494;4;1;23-01-2029;7;8400.0
10495;1;5;24-04-2027;8;400.0
10496;6;2;24-04-2030;7;5600.0
10497;3;12;24-07-2027;3;90.0
10498;4;5;10-08-2028;9;450.0
10499;5;12;22-09-2030;4;120.0
10500;2;1;16-01-2029;8;9600.0
10501;1;4;28-05-2028;7;175.0
10502;6;7;06-03-2030;2;300.0
10503;3;3;16-11-2030;10;5000.0
10504;6;1;18-03-2026;2;2400.0
10505;3;11;20-02-2028;5;600.0
10506;5;2;23-12-2027;6;4800.0
10507;3;4;26-02-2027;6;150.0
10508;2;2;16-04-2026;8;6400.0
10509;2;5;02-06-2028;7;350.0
10510;6;5;04-03-2028;10;500.0
10511;5;5;18-06-2029;6;300.0
10512;6;7;16-05-2030;5;750.0
10513;6;12;20-07-2030;7;210.0
10514;2;9;24-02-2026;9;2250.0
10515;3;1;25-01-2029;2;2400.0
10516;6;4;15-01-2028;10;250.0
10517;4;5;26-04-2030;8;400.0
10518;4;5;05-01-2029;10;500.0
10519;1;6;14-12-2026;2;600.0
10520;5;7;29-07-2029;1;150.0
10521;6;2;17-05-2030;7;5600.0
10522;6;9;06-05-2028;5;1250.0
10523;6;9;02-10-2029;2;500.0
10524;2;7;07-11-2029;6;900.0
10525;2;12;11-09-2028;10;300.0
10526;4;7;13-09-2026;5;750.0
10527;3;12;15-04-2030;5;150.0
10528;2;1;08-07-2030;5;6000.0
10529;4;7;29-09-2029;7;1050.0
10530;6;7;01-12-2027;9;1350.0
10531;3;6;14-09-2027;9;2700.0
10532;4;5;07-12-2030;8;400.0
10533;4;8;19-05-2028;5;350.0
10534;4;11;24-05-2026;4;480.0
10535;3;10;23-04-2029;7;560.0
10536;2;2;25-12-2026;6;4800.0
10537;5;1;24-12-2027;10;12000.0
10538;4;5;31-12-2026;3;150.0
10539;2;3;23-11-2026;1;500.0
10540;2;9;02-02-2029;7;1750.0
10541;1;9;16-01-2027;3;750.0
10542;3;10;24-06-2029;5;400.0
10543;3;6;11-10-2028;1;300.0
10544;3;10;15-06-2030;3;240.0
10545;5;12;13-01-2029;10;300.0
10546;1;8;11-06-2027;8;560.0
10547;5;10;15-08-2026;4;320.0
10548;3;10;09-11-2030;8;640.0
10549;2;3;14-01-2030;10;5000.0
10550;3;11;19-10-2026;10;1200.0
10551;3;6;01-07-2027;2;600.0
10552;4;5;04-09-2029;9;450.0
10553;6;10;27-12-2029;6;480.0
10554;6;1;20-05-2028;10;12000.0
10555;5;7;14-04-2027;5;750.0
10556;4;10;21-07-2026;4;320.0
10557;2;2;23-04-2030;1;800.0
10558;2;1;03-12-2026;10;12000.0
10559;2;8;07-06-2027;7;490.0
10560;5;1;22-12-2030;3;3600.0
10561;3;9;15-06-2027;6;1500.0
10562;5;12;15-10-2030;9;270.0
10563;4;5;29-03-2027;10;500.0
10564;5;4;17-11-2028;9;225.0
10565;6;3;18-06-2027;3;1500.0
10566;1;2;14-08-2028;4;3200.0
10567;4;8;26-06-2028;7;490.0
10568;1;2;22-11-2028;1;800.0
10569;6;4;14-07-2028;6;150.0
10570;6;2;16-02-2027;4;3200.0
10571;6;7;05-08-2027;3;450.0
10572;3;2;10-12-2030;10;8000.0
10573;5;5;17-07-2026;1;50.0
10574;2;11;05-10-2026;7;840.0
10575;2;4;31-12-2028;3;75.0
10576;3;11;08-01-2027;9;1080.0
10577;3;5;08-09-2030;5;250.0
10578;5;3;18-12-2027;10;5000.0
10579;5;11;28-08-2030;6;720.0
10580;5;10;07-05-2030;6;480.0
10581;2;4;08-06-2030;2;50.0
10582;4;12;25-03-2030;4;120.0
10583;2;3;01-06-2028;9;4500.0
10584;2;5;11-09-2028;2;100.0
10585;3;8;21-12-2027;4;280.0
10586;6;9;22-12-2030;9;2250.0
10587;6;1;15-12-2029;8;9600.0
10588;3;2;08-12-2029;4;3200.0
10589;1;11;03-03-2028;5;600.0
10590;4;9;25-06-2029;3;750.0
10591;3;4;14-09-2027;7;175.0
10592;5;6;24-11-2026;9;2700.0
10593;3;7;08-05-2026;4;600.0
10594;2;5;07-09-2027;4;200.0
10595;6;1;26-09-2028;8;9600.0
10596;2;10;28-11-2030;1;80.0
10597;6;10;25-09-2030;8;640.0
10598;4;12;04-11-2030;4;120.0
10599;4;4;11-08-2030;5;125.0
10600;3;4;01-09-2029;7;175.0
10601;6;12;13-10-2028;10;300.0
10602;3;2;22-04-2029;10;8000.0
10603;6;10;01-08-2026;9;720.0
10604;1;5;02-10-2028;3;150.0
10605;2;4;14-02-2030;4;100.0
10606;2;2;05-06-2026;4;3200.0
10607;5;9;17-10-2027;10;2500.0
10608;2;2;06-07-2029;8;6400.0
10609;2;10;31-12-2028;6;480.0
10610;1;11;30-12-2029;8;960.0
10611;4;6;26-12-2028;7;2100.0
10612;4;5;16-12-2029;2;100.0
10613;6;9;27-03-2027;3;750.0
10614;3;6;06-07-2026;10;3000.0
10615;6;11;17-05-2030;9;1080.0
10616;2;2;11-06-2029;10;8000.0
10617;3;4;13-12-2027;8;200.0
10618;1;4;09-12-2027;8;200.0
10619;3;10;27-09-2028;10;800.0
10620;2;2;09-03-2026;7;5600.0
10621;5;8;14-05-2029;7;490.0
10622;1;4;28-08-2028;2;50.0
10623;2;11;08-12-2030;9;1080.0
10624;6;7;13-03-2028;7;1050.0
10625;5;5;06-07-2027;2;100.0
10626;1;10;10-07-2028;6;480.0
10627;3;10;29-03-2030;8;640.0
10628;2;4;16-03-2029;10;250.0
10629;4;10;12-09-2026;7;560.0
10630;2;8;04-10-2030;4;280.0
10631;5;3;13-01-2028;9;4500.0
10632;6;2;13-07-2028;4;3200.0
10633;4;11;17-07-2026;8;960.0
10634;2;5;09-10-2026;1;50.0
10635;1;3;18-02-2029;4;2000.0
10636;3;3;18-08-2029;9;4500.0
10637;6;7;03-11-2028;6;900.0
10638;5;1;23-10-2028;3;3600.0
10639;1;10;28-12-2030;3;240.0
10640;1;5;08-04-2029;6;300.0
10641;4;8;19-02-2026;5;350.0
10642;3;11;03-10-2027;7;840.0
10643;4;6;01-04-2028;7;2100.0
10644;2;9;14-11-2028;10;2500.0
10645;3;5;19-04-2026;8;400.0
10646;4;6;12-11-2028;6;1800.0
10647;1;8;05-04-2030;8;560.0
10648;6;9;04-01-2027;10;2500.0
10649;3;6;06-07-2027;10;3000.0
10650;4;9;20-04-2029;10;2500.0
10651;6;12;21-10-2030;4;120.0
10652;2;7;19-01-2030;7;1050.0
10653;5;2;24-10-2029;8;6400.0
10654;4;4;08-08-2028;4;100.0
10655;4;5;01-02-2028;3;150.0
10656;4;8;12-03-2029;1;70.0
10657;4;7;03-03-2026;6;900.0
10658;6;12;19-07-2027;9;270.0
10659;6;4;20-11-2027;8;200.0
10660;4;3;10-12-2026;8;4000.0
10661;5;4;02-02-2030;5;125.0
10662;2;2;11-06-2027;7;5600.0
10663;2;2;15-09-2027;2;1600.0
10664;4;5;24-05-2030;2;100.0
10665;1;10;06-04-2026;6;480.0
10666;5;1;06-09-2026;2;2400.0
10667;1;2;24-11-2026;4;3200.0
10668;2;3;13-08-2027;9;4500.0
10669;4;1;09-06-2030;7;8400.0
10670;1;4;27-06-2029;6;150.0
10671;2;1;21-04-2027;1;1200.0
10672;1;4;25-04-2030;6;150.0
10673;3;7;30-05-2026;10;1500.0
10674;1;3;17-09-2029;10;5000.0
10675;5;6;04-11-2027;8;2400.0
10676;1;10;05-04-2026;8;640.0
10677;2;4;05-09-2030;8;200.0
10678;3;1;31-05-2030;2;2400.0
10679;6;9;12-11-2026;10;2500.0
10680;1;6;08-05-2030;4;1200.0
10681;3;6;27-06-2028;10;3000.0
10682;1;6;17-02-2029;7;2100.0
10683;3;10;17-08-2030;6;480.0
